City_name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_temperature,Wind_speed
Ponta Delgada,20,PT,1602991595,72,37.73,-25.67,60.8,8.05
Lesosibirsk,100,RU,1602991596,77,58.24,92.48,45.59,12.12
Atuona,1,PF,1602991597,76,-9.8,-139.03,78.3,14.07
Avarua,94,CK,1602991598,69,-21.21,-159.78,77.0,14.99
Port Alfred,100,ZA,1602991599,87,-33.59,26.89,62.26,16.42
Cape Town,40,ZA,1602991366,93,-33.93,18.42,55.99,2.24
Saint George,1,US,1602991315,14,37.1,-113.58,69.8,4.7
Niamey,95,NE,1602991602,69,13.51,2.11,82.4,9.17
Ushuaia,90,AR,1602991604,86,-54.8,-68.3,41.0,11.41
Bima,71,ID,1602991605,44,-8.47,118.72,92.64,2.53
Punta Arenas,87,CL,1602991606,93,-53.15,-70.92,41.0,10.29
Slănic-Moldova,50,RO,1602991607,66,46.2,26.43,50.0,11.41
Lampa,0,CL,1602991608,76,-33.28,-70.9,64.99,4.7
Port Macquarie,90,AU,1602991609,83,-31.43,152.92,69.8,5.82
Sīra,64,IN,1602991610,75,13.75,76.91,75.6,4.63
Bredasdorp,100,ZA,1602991611,93,-34.53,20.04,51.8,1.12
Kaitangata,94,NZ,1602991612,70,-46.28,169.85,53.01,1.99
Gravdal,92,NO,1602991613,65,68.12,13.5,42.51,23.0
Okha,46,RU,1602991615,58,53.57,142.95,45.57,8.75
Bambous Virieux,75,MU,1602991616,83,-20.34,57.76,77.0,2.24
Thompson,90,CA,1602991617,100,55.74,-97.86,28.4,3.36
Russell,1,US,1602991618,72,32.35,-85.2,59.0,6.82
Mossamedes,53,AO,1602991619,72,-15.2,12.15,68.99,5.95
Mataura,72,NZ,1602991620,64,-46.19,168.86,54.0,7.0
Inhambane,31,MZ,1602991621,81,-23.86,35.38,68.18,7.34
Albany,1,US,1602991622,86,42.6,-73.97,41.0,4.7
Hilo,90,US,1602991623,61,19.73,-155.09,82.4,13.87
Qaanaaq,100,GL,1602991624,84,77.48,-69.36,35.69,8.46
Constitución,0,CL,1602991626,78,-35.33,-72.42,50.43,7.76
Cidreira,87,BR,1602991627,81,-30.18,-50.21,66.94,23.35
Mahabalipuram,90,IN,1602991628,88,12.63,80.17,78.8,4.7
Nemuro,20,JP,1602991629,39,43.32,145.57,62.6,12.75
Kapaa,75,US,1602991426,88,22.08,-159.32,77.0,6.93
Dikson,1,RU,1602991558,93,73.51,80.55,17.53,24.0
Saint Paul Harbor,90,US,1602991632,70,57.79,-152.41,44.6,3.36
Bengkulu,95,ID,1602991633,79,-3.8,102.27,78.98,2.55
Carahue,40,CL,1602991634,100,-38.7,-73.17,46.4,3.58
Matara,96,LK,1602991635,72,5.95,80.54,82.74,13.24
Puerto Ayora,91,EC,1602991636,86,-0.74,-90.35,71.01,4.0
Vaini,75,TO,1602991637,88,-21.2,-175.2,75.2,19.46
Katsuura,75,JP,1602991639,63,35.13,140.3,66.99,10.29
Bafoulabé,55,ML,1602991640,54,13.81,-10.83,78.28,1.32
Fairbanks,40,US,1602991426,53,64.84,-147.72,24.01,3.49
Tiksi,100,RU,1602991642,95,71.69,128.87,19.4,12.41
Beringovskiy,100,RU,1602991643,77,63.05,179.32,36.95,5.91
Upernavik,100,GL,1602991644,96,72.79,-56.15,35.31,13.73
Bluff,56,NZ,1602991645,64,-46.6,168.33,54.0,7.0
Kahului,40,US,1602991646,55,20.89,-156.47,89.6,12.75
Mar del Plata,0,AR,1602991361,88,-38.0,-57.56,64.4,8.05
Empangeni,1,ZA,1602991648,94,-28.76,31.89,65.53,4.41
Bonavista,100,CA,1602991649,85,48.65,-53.11,46.99,11.99
Hanna,0,CA,1602991650,80,51.63,-111.9,19.0,5.99
Isangel,75,VU,1602991651,78,-19.55,169.27,80.6,11.41
Labuhan,83,ID,1602991652,52,-6.88,112.21,88.05,2.93
Souillac,75,MU,1602991654,83,-20.52,57.52,71.6,2.24
Mehamn,88,NO,1602991655,78,71.04,27.85,36.75,11.63
Tilichiki,0,RU,1602991656,76,60.47,166.1,36.01,2.3
Hamilton,1,US,1602991454,49,39.18,-84.53,52.0,3.36
Torbay,90,CA,1602991658,100,47.67,-52.73,48.0,13.87
New Norfolk,98,AU,1602991659,65,-42.78,147.06,63.0,5.01
Busselton,0,AU,1602991660,32,-33.65,115.33,78.01,5.57
Yangi Marg`ilon,0,UZ,1602991661,47,40.43,71.72,57.2,4.7
Imeni Poliny Osipenko,87,RU,1602991662,60,52.42,136.49,37.85,21.88
Chingirlau,99,KZ,1602991663,76,51.09,54.08,37.54,8.66
Naze,75,JP,1602991664,83,28.37,129.48,78.8,13.87
Adrar,0,MR,1602991665,25,20.5,-10.07,84.04,9.01
George Town,20,MY,1602991376,83,5.41,100.34,84.2,5.82
Chokurdakh,100,RU,1602991667,98,70.63,147.92,23.56,6.69
Nikolskoye,75,RU,1602991668,90,59.7,30.79,37.0,6.71
Hayden,75,US,1602991621,57,47.77,-116.79,48.2,6.93
Bud,1,US,1602991670,43,39.45,-86.18,52.0,9.17
